epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7502,1.38475,2.98456,2.24441,1.55635,0.47164,0.28838,0.24497,0.14233,0.47485,0.27214,0.22222,0.11454,1.66568,4.01062,2.39265,1.6204,0.000274547,0.000274547,0.000274547
2,72.4429,1.41862,2.86326,1.81708,1.54587,0.6054,0.22727,0.22587,0.11723,0.56087,0.21196,0.18739,0.08534,1.80477,3.79466,2.48643,1.75263,0.000546747,0.000546747,0.000546747
3,107.561,1.42281,2.89833,1.80717,1.57035,0.29025,0.32692,0.22036,0.12352,0.26746,0.2941,0.19869,0.09215,1.60682,3.75203,2.38477,1.64484,0.000813449,0.000813449,0.000813449
4,142.665,1.42524,2.8662,1.78873,1.57073,0.51997,0.31435,0.29864,0.17961,0.63431,0.26568,0.29045,0.15721,1.60269,3.2222,2.19207,1.58753,0.00080826,0.00080826,0.00080826
5,177.663,1.3793,2.80147,1.72845,1.54245,0.40292,0.32477,0.29532,0.17932,0.38234,0.31401,0.26738,0.13508,1.57111,3.32777,1.91431,1.5486,0.000800013,0.000800013,0.000800013
6,212.785,1.34378,2.73309,1.67111,1.50714,0.53709,0.28361,0.30574,0.19033,0.52973,0.27694,0.28423,0.15557,1.55549,3.04206,1.80254,1.53761,0.000791767,0.000791767,0.000791767
7,248.052,1.334,2.67971,1.64626,1.50252,0.53635,0.33607,0.33076,0.20438,0.54531,0.33229,0.32467,0.18366,1.51767,2.81532,1.87188,1.49583,0.00078352,0.00078352,0.00078352
8,283.206,1.31264,2.64549,1.61513,1.488,0.57008,0.29522,0.32677,0.20697,0.56177,0.28993,0.30929,0.17256,1.44896,2.87335,1.85275,1.47015,0.000775273,0.000775273,0.000775273
9,318.162,1.26709,2.57366,1.54801,1.46221,0.51386,0.32148,0.34669,0.23338,0.51711,0.32365,0.34335,0.20325,1.41544,2.76583,1.73706,1.41724,0.000767026,0.000767026,0.000767026
10,353.333,1.26697,2.55331,1.53617,1.45412,0.68947,0.34204,0.38483,0.2614,0.66193,0.33231,0.36358,0.21189,1.42149,2.84315,1.54224,1.4167,0.00075878,0.00075878,0.00075878
11,388.533,1.24532,2.54217,1.52016,1.45063,0.46175,0.34462,0.34836,0.22808,0.44569,0.31968,0.31904,0.18224,1.47556,2.88944,1.84123,1.50767,0.000750533,0.000750533,0.000750533
12,423.638,1.26841,2.55691,1.52958,1.45579,0.58473,0.29585,0.34982,0.2401,0.53604,0.33593,0.33685,0.20339,1.40644,2.85326,1.63053,1.41106,0.000742286,0.000742286,0.000742286
13,458.762,1.24339,2.52008,1.50445,1.44148,0.47118,0.34802,0.37562,0.25727,0.45499,0.33982,0.36165,0.22507,1.38786,2.69135,1.54806,1.4064,0.00073404,0.00073404,0.00073404
